VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2016-06-01 08:00:00,2016-06-01 08:00:37,1,1.3,-73.9803543091,40.745803833,1,N,-73.9815292358,40.7464370728,1,2.5,0.0,0.5,0.65,0.0,0.3,3.95
2,2016-06-01 08:00:00,2016-06-01 08:08:08,2,1.39,-73.9750595093,40.7903404236,1,N,-73.9702987671,40.7839012146,1,7.5,0.0,0.5,1.66,0.0,0.3,9.96
2,2016-06-01 08:00:00,2016-06-01 08:11:48,6,0.72,-73.9735641479,40.7610054016,1,N,-73.9818572998,40.76587677,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3
2,2016-06-01 08:00:00,2016-06-01 08:14:35,1,2.31,-74.0001983643,40.7421913147,1,N,-73.9733810425,40.7550811768,1,11.0,0.0,0.5,1.0,0.0,0.3,12.8
2,2016-06-01 08:00:00,2016-06-01 08:05:22,1,0.66,-73.982131958,40.7702903748,1,N,-73.9872894287,40.7789115906,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3
2,2016-06-01 08:00:00,2016-06-01 08:06:23,1,0.72,-73.9721298218,40.7535629272,1,N,-73.9841842651,40.7587013245,1,6.0,0.0,0.5,0.5,0.0,0.3,7.3
1,2016-06-01 08:00:01,2016-06-01 08:14:07,1,2.0,-73.9563064575,40.7677993774,1,N,-73.967918396,40.7873954773,1,11.0,0.0,0.5,2.35,0.0,0.3,14.15
1,2016-06-01 08:00:01,2016-06-01 08:08:48,1,1.2,-73.9799957275,40.7455787659,1,N,-73.9910049438,40.7314796448,1,7.5,0.0,0.5,2.05,0.0,0.3,10.35
2,2016-06-01 08:00:01,2016-06-01 08:15:15,1,2.15,-73.9640884399,40.7763938904,1,N,-73.9664077759,40.7907447815,2,11.5,0.0,0.5,0.0,0.0,0.3,12.3
2,2016-06-01 08:00:01,2016-06-01 08:12:37,2,0.84,-73.9823913574,40.7684860229,1,N,-73.9902801514,40.7718162537,1,9.0,0.0,0.5,1.96,0.0,0.3,11.76
2,2016-06-01 08:00:01,2016-06-01 08:27:38,3,4.69,-74.0053100586,40.7068824768,1,N,-73.9954681396,40.7439918518,1,21.0,0.0,0.5,4.36,0.0,0.3,26.16
2,2016-06-01 08:00:01,2016-06-01 08:01:05,1,0.42,-74.0016403198,40.7408905029,1,N,-73.9970626831,40.7470588684,2,3.5,0.0,0.5,0.0,0.0,0.3,4.3
2,2016-06-01 08:00:01,2016-06-01 08:15:53,1,2.31,-73.9928436279,40.7426795959,1,N,-73.9693069458,40.7638397217,1,12.0,0.0,0.5,1.0,0.0,0.3,13.8
1,2016-06-01 08:00:02,2016-06-01 08:25:32,1,7.1,-73.9601516724,40.7619361877,1,N,-74.0152740479,40.7112579346,1,26.5,0.0,0.5,5.45,0.0,0.3,32.75
1,2016-06-01 08:00:02,2016-06-01 08:37:27,1,14.6,-73.9881057739,40.7187728882,1,N,-73.8610534668,40.8552284241,2,43.5,0.0,0.5,0.0,0.0,0.3,44.3
1,2016-06-01 08:00:02,2016-06-01 08:05:37,1,0.7,-73.9730987549,40.7444953918,1,N,-73.9769821167,40.751750946,1,5.5,0.0,0.5,0.95,0.0,0.3,7.25
1,2016-06-01 08:00:02,2016-06-01 08:15:33,1,1.4,-73.966545105,40.7573280334,1,N,-73.9576721191,40.7727546692,1,11.0,0.0,0.5,2.35,0.0,0.3,14.15
2,2016-06-01 08:00:02,2016-06-01 08:07:03,1,1.54,-74.0020980835,40.7092285156,1,N,-74.0179977417,40.7059745789,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3
1,2016-06-01 08:00:03,2016-06-01 08:03:02,1,0.5,-73.987449646,40.7333831787,1,N,-73.9813613892,40.7392692566,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8
2,2016-06-01 08:00:03,2016-06-01 08:12:20,2,1.41,-73.9586715698,40.7783088684,1,N,-73.9559249878,40.7646713257,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8
2,2016-06-01 08:00:03,2016-06-01 08:06:39,1,1.69,-73.9561767578,40.7845115662,1,N,-73.9400024414,40.8046112061,1,7.5,0.0,0.5,1.66,0.0,0.3,9.96
1,2016-06-01 08:00:04,2016-06-01 08:13:34,1,2.3,-74.0080490112,40.7235603333,1,N,-74.0097198486,40.7061004639,1,11.5,0.0,0.5,1.0,0.0,0.3,13.3
1,2016-06-01 08:00:04,2016-06-01 08:08:02,1,0.6,-73.9874420166,40.7760543823,1,N,-73.9847335815,40.7693138123,1,6.5,0.0,0.5,1.45,0.0,0.3,8.75
1,2016-06-01 08:00:05,2016-06-01 08:07:07,1,1.2,-73.9503860474,40.7798995972,1,N,-73.9617538452,40.7642326355,1,7.0,0.0,0.5,1.55,0.0,0.3,9.35
2,2016-06-01 08:00:05,2016-06-01 08:12:49,1,1.15,-73.9725036621,40.7620697021,1,N,-73.986038208,40.7584686279,2,9.5,0.0,0.5,0.0,0.0,0.3,10.3
1,2016-06-01 08:00:06,2016-06-01 08:20:00,1,2.1,-73.957824707,40.7687606812,1,N,-73.9823455811,40.7515258789,2,13.5,0.0,0.5,0.0,0.0,0.3,14.3
1,2016-06-01 08:00:06,2016-06-01 08:12:49,1,1.7,0.0,0.0,1,N,-73.9729156494,40.7575187683,1,9.5,0.0,0.5,3.05,0.0,0.3,13.35
1,2016-06-01 08:00:06,2016-06-01 08:18:51,1,2.4,-73.9677276611,40.803188324,1,N,-73.9569396973,40.7818069458,1,13.5,0.0,0.5,2.85,0.0,0.3,17.15
1,2016-06-01 08:00:06,2016-06-01 08:10:20,1,1.1,-73.9915313721,40.7502250671,1,N,-73.9780960083,40.7529830933,1,8.0,0.0,0.5,2.6,0.0,0.3,11.4
2,2016-06-01 08:00:06,2016-06-01 08:09:03,1,0.96,-73.9812316895,40.7596702576,1,N,-73.9959335327,40.7640609741,1,7.0,0.0,0.5,1.95,0.0,0.3,9.75
2,2016-06-01 08:00:06,2016-06-01 08:18:06,1,2.69,-73.9781494141,40.7526817322,1,N,-74.0054550171,40.7283439636,1,13.5,0.0,0.5,2.86,0.0,0.3,17.16
1,2016-06-01 08:00:07,2016-06-01 08:07:55,2,0.8,-73.9465637207,40.7756156921,1,N,-73.9576950073,40.7824668884,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
1,2016-06-01 08:00:07,2016-06-01 08:12:33,1,1.2,-73.961265564,40.7607688904,1,N,-73.9781417847,40.7620582581,1,9.0,0.0,0.5,1.2,0.0,0.3,11.0
2,2016-06-01 08:00:07,2016-06-01 08:03:50,1,0.89,-73.9891052246,40.73072052,1,N,-73.9811477661,40.7416687012,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8
1,2016-06-01 08:00:08,2016-06-01 08:19:06,1,6.2,-73.9656982422,40.7546005249,1,N,-74.0080795288,40.7066421509,1,21.5,0.0,0.5,3.33,0.0,0.3,25.63
1,2016-06-01 08:00:08,2016-06-01 08:47:57,1,11.0,-73.8631210327,40.7699317932,1,N,-73.9779815674,40.763168335,1,37.5,0.0,0.5,13.15,5.54,0.3,56.99
2,2016-06-01 08:00:08,2016-06-01 08:12:08,1,1.58,-73.9817428589,40.7799224854,1,N,-73.9804611206,40.7598686218,1,9.5,0.0,0.5,3.09,0.0,0.3,13.39
2,2016-06-01 08:00:08,2016-06-01 08:09:12,2,1.15,-74.0057373047,40.7504005432,1,N,-73.9987487793,40.7400398254,1,7.5,0.0,0.5,1.66,0.0,0.3,9.96
1,2016-06-01 08:00:09,2016-06-01 08:22:20,1,2.2,-73.9705047607,40.7518463135,1,N,-73.9521255493,40.7754707336,2,14.5,0.0,0.5,0.0,0.0,0.3,15.3
1,2016-06-01 08:00:09,2016-06-01 08:06:58,2,0.4,-73.9608078003,40.7781600952,1,N,-73.9566345215,40.7838439941,1,6.0,0.0,0.5,1.7,0.0,0.3,8.5
1,2016-06-01 08:00:09,2016-06-01 08:02:59,1,0.8,-74.0019226074,40.7409362793,1,N,-74.003288269,40.7491493225,1,4.5,0.0,0.5,1.05,0.0,0.3,6.35
1,2016-06-01 08:00:09,2016-06-01 08:05:10,1,0.6,-73.9931411743,40.7629203796,1,N,-73.9824981689,40.7614479065,1,5.5,0.0,0.5,1.25,0.0,0.3,7.55
1,2016-06-01 08:00:09,2016-06-01 08:01:35,1,0.3,-73.9784393311,40.7373161316,1,N,-73.9746856689,40.7419776917,2,3.5,0.0,0.5,0.0,0.0,0.3,4.3
1,2016-06-01 08:00:09,2016-06-01 08:09:36,1,1.2,-73.9657287598,40.7545318604,1,N,-73.9810409546,40.7561149597,1,7.5,0.0,0.5,1.65,0.0,0.3,9.95
2,2016-06-01 08:00:09,2016-06-01 08:08:31,2,1.01,-73.9679031372,40.7602081299,1,N,-73.9588699341,40.7720909119,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8
2,2016-06-01 08:00:09,2016-06-01 08:03:39,1,0.53,-73.9776000977,40.7541694641,1,N,-73.9748535156,40.7602005005,1,4.5,0.0,0.5,1.06,0.0,0.3,6.36
2,2016-06-01 08:00:09,2016-06-01 08:30:28,1,9.15,-73.863494873,40.769569397,1,N,-73.9563827515,40.7791099548,1,29.0,0.0,0.5,8.84,5.54,0.3,44.18
1,2016-06-01 08:00:10,2016-06-01 08:12:37,1,0.8,-73.9832000732,40.7479019165,1,N,-73.9830322266,40.7568359375,1,9.0,0.0,0.5,1.0,0.0,0.3,10.8
2,2016-06-01 08:00:10,2016-06-01 08:10:40,1,1.32,-73.9528198242,40.7863388062,1,N,-73.9592132568,40.7710342407,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16
2,2016-06-01 08:00:10,2016-06-01 08:07:37,1,1.5,-73.9633560181,40.76612854,1,N,-73.9499740601,40.7844429016,1,7.5,0.0,0.5,1.0,0.0,0.3,9.3
2,2016-06-01 08:00:10,2016-06-01 08:21:11,5,2.46,-73.9394607544,40.8481483459,1,N,-73.9153137207,40.8508110046,2,14.5,0.0,0.5,0.0,0.0,0.3,15.3
1,2016-06-01 08:00:11,2016-06-01 08:16:35,1,2.6,-73.9844207764,40.7287635803,1,N,-73.974861145,40.7585029602,1,12.5,0.0,0.5,2.65,0.0,0.3,15.95
1,2016-06-01 08:00:11,2016-06-01 08:27:56,1,3.3,-73.9825210571,40.749546051,1,N,-73.9535751343,40.7881088257,1,18.5,0.0,0.5,3.85,0.0,0.3,23.15
2,2016-06-01 08:00:11,2016-06-01 08:05:44,1,1.03,-73.9212875366,40.7436981201,1,N,-73.9264068604,40.7550201416,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8
2,2016-06-01 08:00:11,2016-06-01 08:21:28,1,3.92,-73.9730377197,40.7902870178,1,N,-73.9412307739,40.8392105103,1,17.5,0.0,0.5,5.49,0.0,0.3,23.79
2,2016-06-01 08:00:12,2016-06-01 08:13:39,2,2.2,-73.9664077759,40.7647018433,1,N,-73.9535980225,40.7881011963,1,11.0,0.0,0.5,2.36,0.0,0.3,14.16
2,2016-06-01 08:00:12,2016-06-01 08:07:52,6,2.89,-73.9833755493,40.72133255,1,N,-73.9757537842,40.7189178467,2,10.5,0.0,0.5,0.0,0.0,0.3,11.3
2,2016-06-01 08:00:12,2016-06-01 08:01:38,2,0.41,-73.9757766724,40.7489929199,1,N,-73.9718856812,40.7544555664,2,3.5,0.0,0.5,0.0,0.0,0.3,4.3
1,2016-06-01 08:00:13,2016-06-01 08:10:39,1,2.3,-73.9705734253,40.7893676758,1,N,-73.9828948975,40.7616233826,1,9.5,0.0,0.5,2.0,0.0,0.3,12.3
1,2016-06-01 08:00:13,2016-06-01 08:19:07,1,1.8,-73.987487793,40.7683258057,1,N,-73.9710083008,40.7522010803,1,12.5,0.0,0.5,3.3,0.0,0.3,16.6
1,2016-06-01 08:00:13,2016-06-01 08:22:20,1,2.7,-73.9498596191,40.7746086121,1,N,-73.9810409546,40.7540473938,2,14.5,0.0,0.5,0.0,0.0,0.3,15.3
2,2016-06-01 08:00:13,2016-06-01 08:16:42,1,7.15,-73.9508056641,40.7713317871,1,N,-74.0048446655,40.7078094482,2,22.0,0.0,0.5,0.0,0.0,0.3,22.8
2,2016-06-01 08:00:13,2016-06-01 08:09:02,2,1.27,-73.9466018677,40.8005218506,1,N,-73.9580230713,40.784778595,1,7.5,0.0,0.5,1.66,0.0,0.3,9.96
2,2016-06-01 08:00:13,2016-06-01 08:11:18,5,1.42,-73.9735565186,40.7555885315,1,N,-73.9562225342,40.7634010315,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3
2,2016-06-01 08:00:13,2016-06-01 08:18:54,1,3.73,-73.9191055298,40.7433738708,1,N,-73.9548492432,40.7655525208,2,16.0,0.0,0.5,0.0,0.0,0.3,16.8
1,2016-06-01 08:00:14,2016-06-01 08:03:22,1,0.3,0.0,0.0,1,N,0.0,0.0,1,4.0,0.0,0.5,3.2,0.0,0.3,8.0
2,2016-06-01 08:00:14,2016-06-01 08:08:30,1,1.52,-73.9898910522,40.7418403625,1,N,-73.9835586548,40.7268714905,1,8.0,0.0,0.5,2.2,0.0,0.3,11.0
2,2016-06-01 08:00:14,2016-06-01 08:03:25,1,0.62,-73.9841842651,40.7435531616,1,N,-73.9789276123,40.7502746582,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3
2,2016-06-01 08:00:14,2016-06-01 08:08:01,3,1.69,-74.0062789917,40.7333297729,1,N,-73.9913330078,40.7547912598,1,7.5,0.0,0.5,1.66,0.0,0.3,9.96
